[10-Apr-2017 04:26:48 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Web\Controller' not found in D:\web\med-device\app\Http\Controllers\Web\HomeController.php on line 8
[10-Apr-2017 04:32:24 UTC] PHP Fatal error:  Class 'App\Http\Controllers\Web\Controller' not found in D:\web\med-device\app\Http\Controllers\Web\HomeController.php on line 8
[10-Apr-2017 07:28:24 UTC] PHP Fatal error:  Cannot redeclare App\Http\Controllers\Web\Personal\PersonalController::index() in D:\web\med-device\app\Http\Controllers\Web\Personal\PersonalController.php on line 39
[11-Apr-2017 07:32:27 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:32:37 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:35:55 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:35:57 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:44:05 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:47:02 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:47:28 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:54:05 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:57:59 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:58:02 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:59:34 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 07:59:35 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 08:02:43 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 08:03:18 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 08:03:19 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
[11-Apr-2017 08:03:19 UTC] PHP Fatal error:  Trait 'Illuminate\Foundation\Auth\AuthenticatesAndRegistersUsers' not found in D:\web\med-device\app\Http\Controllers\Admin\AuthController.php on line 13
